Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,JDMean,D-N,DJF,MAM,JJA,SON,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S
1880,-29,-19,-17,-27,-13,-28,-22,-6,-16,-15,-18,-20,-19,***,****,-19,-19,-16,-19,-33,-5,-38,-16,-5,-89,-54,-22,-26,-5,-2,-8,39
1881,-8,-13,2,-2,-3,-27,-5,-1,-8,-18,-25,-14,-10,-11,-13,-1,-11,-17,-10,-18,-2,-27,-2,-5,-54,-40,-14,-5,2,-6,-3,37
1882,10,10,2,-19,-17,-24,-9,5,0,-21,-20,-24,-9,-8,2,-11,-9,-14,-9,-17,-1,-21,-10,4,-125,-20,-3,-12,-8,3,8,42
1883,-32,-41,-17,-23,-24,-11,-7,-12,-18,-11,-19,-17,-19,-20,-32,-22,-10,-16,-19,-30,-8,-34,-22,-2,-28,-57,-20,-25,-19,-1,0,37
1884,-17,-11,-33,-35,-31,-37,-33,-25,-22,-22,-30,-28,-27,-26,-15,-33,-32,-25,-27,-42,-12,-56,-17,-11,-127,-58,-41,-21,-14,-15,-5,40
1885,-64,-29,-23,-44,-41,-50,-28,-27,-19,-19,-22,-5,-31,-33,-41,-36,-35,-20,-31,-41,-21,-61,-17,-20,-119,-70,-43,-11,-23,-27,-7,38
1886,-41,-45,-41,-28,-27,-39,-15,-31,-18,-25,-26,-24,-30,-28,-30,-32,-28,-23,-30,-39,-21,-49,-24,-20,-124,-43,-38,-24,-24,-18,-21,28
1887,-65,-47,-31,-37,-33,-20,-18,-27,-19,-32,-25,-37,-33,-32,-46,-33,-21,-26,-33,-37,-28,-46,-27,-26,-158,-52,-21,-24,-31,-24,-29,21
1888,-42,-42,-47,-28,-21,-20,-8,-10,-7,2,0,-11,-20,-22,-40,-32,-13,-2,-20,-22,-17,-42,7,-33,-141,-43,-22,7,8,-30,-38,16
1889,-19,15,4,5,-3,-11,-5,-18,-18,-22,-30,-29,-11,-9,-5,2,-11,-23,-11,-16,-6,-25,4,-17,-82,-13,-21,-3,11,-16,-17,19
1890,-46,-48,-41,-38,-48,-27,-29,-35,-36,-23,-37,-29,-36,-36,-41,-42,-30,-32,-36,-40,-33,-44,-39,-26,-127,-41,-30,-35,-43,-16,-40,4
1891,-45,-48,-14,-25,-17,-21,-21,-20,-13,-23,-36,1,-23,-26,-41,-19,-21,-24,-23,-23,-24,-33,-16,-23,-118,-17,-27,-8,-24,-20,-28,9
1892,-24,-14,-35,-34,-24,-18,-26,-18,-24,-15,-49,-27,-26,-23,-12,-31,-21,-29,-26,-30,-21,-29,-30,-16,-119,-30,-12,-32,-29,-4,-34,5
1893,-67,-50,-23,-32,-34,-22,-12,-22,-17,-15,-16,-36,-29,-28,-48,-30,-19,-16,-29,-39,-19,-37,-40,-7,-76,-35,-30,-43,-36,3,-22,2
1894,-54,-31,-21,-40,-29,-43,-31,-26,-22,-16,-24,-21,-30,-31,-40,-30,-33,-21,-30,-37,-23,-26,-38,-22,-121,-17,-9,-53,-23,-16,-32,-12
1895,-43,-42,-29,-22,-23,-24,-16,-15,-1,-10,-15,-11,-21,-22,-35,-24,-18,-9,-21,-28,-14,-34,-13,-19,-86,-38,-18,-19,-8,-21,-13,-1
1896,-22,-15,-29,-32,-19,-13,-5,-8,-3,6,-15,-11,-14,-14,-16,-27,-9,-4,-14,-20,-8,-33,3,-18,-113,-34,-12,-2,8,-15,-22,3
1897,-22,-19,-13,-1,0,-13,-4,-3,-4,-9,-18,-26,-11,-10,-17,-5,-7,-10,-11,-13,-9,-30,16,-28,-73,-31,-19,13,18,-21,-37,5
1898,-7,-33,-56,-34,-36,-21,-23,-23,-20,-33,-35,-21,-28,-29,-22,-42,-22,-29,-28,-28,-29,-28,-29,-29,-121,-2,-21,-28,-29,-27,-30,8
1899,-17,-39,-35,-21,-20,-26,-13,-4,-2,0,12,-26,-16,-16,-26,-25,-14,3,-16,-17,-15,-18,-13,-17,-99,4,-12,-16,-10,-13,-23,13
1900,-39,-6,2,-14,-4,-13,-6,-3,2,10,-12,-13,-8,-9,-24,-5,-7,0,-8,-3,-13,-12,15,-34,-50,-3,-8,11,19,-31,-38,12
1901,-28,-4,6,-5,-17,-9,-7,-11,-16,-27,-15,-28,-13,-12,-15,-5,-9,-19,-13,-8,-19,-10,-5,-28,-41,-1,-9,-3,-6,-29,-26,1
1902,-18,-2,-28,-26,-29,-33,-25,-27,-20,-26,-35,-45,-26,-25,-16,-28,-28,-27,-26,-29,-23,-47,-5,-33,-145,-40,-26,-3,-8,-27,-42,6
1903,-27,-5,-22,-39,-41,-43,-29,-43,-42,-41,-38,-46,-35,-34,-25,-34,-38,-40,-35,-35,-35,-39,-32,-33,-37,-30,-46,-27,-37,-37,-25,-43
1904,-63,-54,-45,-50,-50,-49,-47,-42,-46,-34,-16,-28,-44,-45,-54,-48,-46,-32,-44,-45,-42,-46,-46,-38,-23,-53,-47,-45,-48,-36,-38,-108
